0  1013
1  1013
2  1013
3  1013
4  1013
5  1013
6  1013
7  1013
8  1013
9  1013
10  1013
11  1013
12  1013
13  1013
14  1013
15  1013
16  1013
17  1013
18  1013
19  1013
20  1013
21  1013
22  1013
23  1013
24  1013
25  1013
26  1013
27  1013
28  1013
29  1013
30  1013
31  1013
32  1013
33  1013
34  1013
35  1013
36  1013
37  1013
38  1013
39  1013
40  1013
41  1013
42  1013
43  1013
44  1013
45  1013
46  1013
47  1013
48  1013
49  1013
50  1013
51  1013
52  1013
53  1013
54  1013
55  1013
56  1013
57  1013
58  1013
59  1013
60  1013
61  1013
62  1013
63  1013
64  1013
65  1013
66  1013
67  1013
68  1013
69  1013
70  1013
71  1013
72  1013
73  1013
74  1013
75  1013
76  1013
77  1013
78  1013
79  1013
80  1013
81  1013
82  1013
83  1013
84  1013
85  1013
86  1013
87  1013
88  1013
89  1013
90  1013
91  1013
92  1013
93  1013
94  1013
95  1013
96  1013
97  1013
98  1013
99  1013
100  1013
101  1013
102  1013
103  1013
104  1013
105  1013
106  1013
107  1013
108  1013
109  1013
110  1013
111  1013
112  1013
113  1013
114  1013
115  1013
116  1013
117  1013
118  1013
119  1013
